"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.65486725663717","semivar5.30973451327434","semivar7.9646017699115","semivar10.6194690265487","semivar13.2743362831858","semivar15.929203539823","semivar18.5840707964602","semivar21.2389380530973","semivar23.8938053097345","semivar26.5486725663717","semivar29.2035398230088","semivar31.858407079646","semivar34.5132743362832","semivar37.1681415929204","semivar39.8230088495575","semivar42.4778761061947","semivar45.1327433628319","semivar47.787610619469","semivar50.4424778761062","semivar53.0973451327434","semivar55.7522123893805","semivar58.4070796460177","semivar61.0619469026549","semivar63.716814159292","semivar66.3716814159292","semivar69.0265486725664","semivar71.6814159292035","semivar74.3362831858407","semivar76.9911504424779","semivar79.646017699115","semivar82.3008849557522","semivar84.9557522123894","semivar87.6106194690265","semivar90.2654867256637","semivar92.9203539823009","semivar95.5752212389381","semivar98.2300884955752","semivar100.884955752212","semivar103.53982300885","semivar106.194690265487","semivar108.849557522124","semivar111.504424778761","semivar114.159292035398","semivar116.814159292035","semivar119.469026548673","semivar122.12389380531","semivar124.778761061947","semivar127.433628318584","semivar130.088495575221","semivar132.743362831858","semivar135.398230088496","semivar138.053097345133","semivar140.70796460177","semivar143.362831858407","semivar146.017699115044","semivar148.672566371681","semivar151.327433628319","semivar153.982300884956","semivar156.637168141593","semivar159.29203539823","semivar161.946902654867","semivar164.601769911504","semivar167.256637168142","semivar169.911504424779","semivar172.566371681416","semivar175.221238938053","semivar177.87610619469","semivar180.530973451327","semivar183.185840707965","semivar185.840707964602","semivar188.495575221239","semivar191.150442477876","semivar193.805309734513","semivar196.46017699115","semivar199.115044247788","semivar201.769911504425","semivar204.424778761062","semivar207.079646017699","semivar209.734513274336","semivar212.389380530973","semivar215.044247787611","semivar217.699115044248","semivar220.353982300885","semivar223.008849557522","semivar225.663716814159","semivar228.318584070796","semivar230.973451327434","semivar233.628318584071","semivar236.283185840708","semivar238.938053097345","semivar241.592920353982","semivar244.247787610619","semivar246.902654867257","semivar249.557522123894","semivar252.212389380531","semivar254.867256637168","semivar257.522123893805","semivar260.176991150442","semivar262.83185840708","semivar265.486725663717","semivar268.141592920354","semivar270.796460176991","semivar273.451327433628","semivar276.106194690266","semivar278.761061946903","semivar281.41592920354","semivar284.070796460177","semivar286.725663716814","semivar289.380530973451","semivar292.035398230089","semivar294.690265486726","semivar297.345132743363","semivar300"
"AR-364_BARGE_2016-03-09_R_T3",81,"3/9/2016","11:02:41 AM",33.961,12.98,13.1091,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",590,15.8035714285714,0.0945681950000005,"0.000585640000000021","0.0026522499999999","0.00443555999999991","0.00879843999999998","0.0248062500000002","0.011881","0.00527075999999994","0.00235224999999989","0.00110889000000004","0.011236","0.0077264099999999","0.0077264099999999","0.00485808999999989","0.000918090000000027","0.00131768999999992","0.00206115999999991","0.00719103999999992","0.0229219599999997","0.0211411600000001","0.0185776900000001","0.0161798400000001","0.0161798400000001","0.011236","0.00719103999999992","0.00879843999999998","0.010609","0.010609","0.00619368999999993","0.00110889000000004","0.00485808999999989","0.0077264099999999","0.00527075999999994","0.00443555999999991","0.00485808999999989","0.00667488999999994","0.00826280999999992","0.00235224999999989","0.00178928999999993","0.00110889000000004","0.00367235999999989","0.0161798400000001","0.0502656399999999","0.0257923600000002","0.0411684099999998","0.0220225600000002","0.01697809","0.00826280999999992","0.0077264099999999","0.00826280999999992","0.0177422400000001","0.0248062500000002","0.0185776900000001","0.010609","0.00443555999999991","0.0040449599999999","0.00826280999999992","0.0077264099999999","0.00719103999999992","0.0077264099999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",82,"3/9/2016","11:02:42 AM",33.9121,12.98,13.0758,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",600,16.0714285714286,0.0977418900000007,"0.00110889000000004","8.2810000000002e-05","0.000331239999999943","0.00110888999999992","0.00366024999999992","0.01542564","0.00573048999999991","0.00154448999999992","0.000231039999999949","0","0.0052852899999999","0.00298115999999988","0.00298115999999988","0.0013249599999999","9.00000000000068e-06","8.99999999999002e-06","0.000146409999999962","0.0026522499999999","0.0139476099999996","0.01256641","0.010609","0.00881720999999993","0.00881720999999993","0.0052852899999999","0.0026522499999999","0.00366024999999992","0.00485808999999989","0.00485808999999989","0.00206115999999991","0","0.0013249599999999","0.00298115999999988","0.00154448999999992","0.00110888999999992","0.0013249599999999","0.00234255999999991","0.00331775999999988","0.000231039999999949","8.09999999999742e-05","0","0.000745289999999921","0.00881720999999993","0.0364428099999997","0.01620529","0.0287641599999997","0.01324801","0.00940899999999991","0.00331775999999988","0.00298115999999988","0.00331775999999988","0.00998000999999997","0.01542564","0.010609","0.00485808999999989","0.00110888999999992","0.000918089999999919","0.00331775999999988","0.00298115999999988","0.0026522499999999","0.00298115999999988","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",83,"3/9/2016","11:02:43 AM",33.881,12.98,13.0547,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",610,16.3392857142857,0.0930491950000007,"0.000445209999999949","0.00295935999999993","0.000912039999999933","8.41000000000201e-06","0.00014884","0.00155236000000004","0.0106296100000003","0.00298116000000007","0.000331240000000008","3.48100000000054e-05","0.000445209999999949","0.00266256000000006","0.00112225000000001","0.00112225000000001","0.000234089999999996","0.000580809999999947","0.000327610000000016","8.10000000000061e-05","0.000924160000000012","0.00940899999999991","0.0082810000000002","0.00670761000000016","0.00529984000000013","0.00529984000000013","0.00266256000000006","0.000924160000000012","0.00155236000000004","0.00236196000000004","0.00236196000000004","0.00059049000000001","0.000445209999999949","0.000234089999999996","0.00112225000000001","0.000331240000000008","0.00014884","0.000234089999999996","0.000745290000000018","0.00133225000000001","3.48100000000054e-05","0.000146410000000005","0.000445209999999949","3.8439999999997e-05","0.00529984000000013","0.0288320400000001","0.0112784400000003","0.0220522500000001","0.00883600000000022","0.00576081000000011","0.00133225000000001","0.00112225000000001","0.00133225000000001","0.00620944000000017","0.0106296100000003","0.00670761000000016","0.00236196000000004","0.00014884","8.46399999999977e-05","0.00133225000000001","0.00112225000000001","0.000924160000000012","0.00112225000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",84,"3/9/2016","11:02:44 AM",33.7919,12.98,12.994,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",620,16.6071428571429,0.0881320450000008,"0.00368449000000008","0.00669123999999991","0.01324801","0.00826280999999992","0.00404496000000013","0.00235225000000006","0.000453690000000004","0.00179776000000006","3.72099999999999e-05","0.00180625000000004","0.00443556000000015","0.00669123999999991","8.2810000000002e-05","0.00073984000000003","0.00073984000000003","0.00206116000000007","0.00719103999999992","0.00620944000000017","0.00485809000000014","0.000918090000000027","0.00131768999999992","0.000918090000000027","0.000449440000000014","0.000146410000000005","0.000146410000000005","8.2810000000002e-05","0.000918090000000027","0.000453690000000004","0.000146410000000005","0.000146410000000005","0.00132496000000003","0.00669123999999991","0.00206116000000007","0.00073984000000003","0.00180625000000004","0.00235225000000006","0.00206116000000007","0.00111556000000002","0.000585640000000021","0.00443556000000015","0.00529984000000013","0.00669123999999991","0.0029702500000001","0.000146410000000005","0.0119028099999999","0.00207025000000005","0.00770883999999994","0.00110889000000004","0.000231040000000003","0.000585640000000021","0.00073984000000003","0.000585640000000021","0.000327610000000016","0.00179776000000006","0.000449440000000014","0.000146410000000005","0.00235225000000006","0.00265225000000008","0.000585640000000021","0.00073984000000003","0.000918090000000027","0.00073984000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",85,"3/9/2016","11:02:45 AM",33.7474,12.98,12.9637,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",630,16.875,0.0799559750000007,"0.000918090000000027","0.0082810000000002","0.01256641","0.0211411600000001","0.01468944","0.00881721000000027","0.00620944000000017","0.00266256000000006","0.000146410000000005","0.00132496000000003","0.00529984000000013","0.0093896100000003","0.01256641","0.00155236000000004","0.00330625000000011","0.00330625000000011","0.00573049000000018","0.01324801","0.0119028100000003","0.0100000000000003","0.00367236000000011","3.59999999999814e-05","0","8.2810000000002e-05","0.000331240000000008","0.000331240000000008","0.00155236000000004","0.00367236000000011","0.00266256000000006","0.00179776000000006","0.00179776000000006","0.00444889000000012","0.01256641","0.00573049000000018","0.00330625000000011","0.00529984000000013","0.00620944000000017","0.00573049000000018","0.0040576900000001","0.0029702500000001","0.0093896100000003","0.0106296100000003","0.01256641","0.00719104000000022","0.000331240000000008","0.00620943999999989","0.000231040000000003","0.00330624999999991","9.00000000000068e-06","0.00022801000000001","0.0029702500000001","0.00330625000000011","0.0029702500000001","0.00014884","0.000146410000000005","8.2810000000002e-05","0.00179776000000006","0.00620944000000017","0.0066912400000002","0.0029702500000001","0.00330625000000011","0.00367236000000011","0.00330625000000011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",86,"3/9/2016","11:02:46 AM",33.7519,12.98,12.9668,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",640,17.1428571428571,0.0703170150000005,"9.60999999999926e-06","0.00073984000000003","0.00772641000000021","0.011881","0.0202492900000002","0.01394761","0.00824464000000028","0.00573049000000018","0.00235225000000006","0.000231040000000003","0.00110889000000004","0.00485809000000014","0.00879844000000031","0.011881","0.00131769000000005","0.00295936000000012","0.00295936000000012","0.00527076000000019","0.012544","0.0112360000000003","0.0093896100000003","0.00330625000000011","8.28099999999696e-05","9.60999999999926e-06","3.60000000000027e-05","0.00022801000000001","0.00022801000000001","0.00131769000000005","0.00330625000000011","0.00235225000000006","0.00154449000000006","0.00154449000000006","0.00404496000000013","0.011881","0.00527076000000019","0.00295936000000012","0.00485809000000014","0.00573049000000018","0.00527076000000019","0.00367236000000011","0.0026419600000001","0.00879844000000031","0.0100000000000003","0.011881","0.00667489000000024","0.00022801000000001","0.00670760999999987","0.000334889999999999","0.00367235999999989","3.72099999999999e-05","0.000144000000000011","0.0026419600000001","0.00295936000000012","0.0026419600000001","8.2810000000002e-05","0.000231040000000003","3.60000000000027e-05","0.00154449000000006","0.00573049000000018","0.00619369000000021","0.0026419600000001","0.00295936000000012","0.00330625000000011","0.00295936000000012","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",87,"3/9/2016","11:02:47 AM",33.725,12.98,12.9485,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",650,17.4107142857143,0.0702278000000006,"0.000334889999999999","0.000231040000000003","0.00207025000000005","0.0112784400000003","0.01620529","0.0257923600000002","0.01860496","0.0119028100000003","0.00883600000000022","0.00446224000000009","9.60999999999926e-06","0.00266256000000006","0.00774400000000017","0.0125664100000004","0.01620529","0.00298116000000007","0.00528529000000016","0.00528529000000016","0.00826281000000024","0.01697809","0.0154504900000004","0.0132710400000004","0.00574564000000015","8.46400000000304e-05","0.000231040000000003","0.00059049000000001","0.00111556000000002","0.00111556000000002","0.00298116000000007","0.00574564000000015","0.00446224000000009","0.00331776000000009","0.00331776000000009","0.00670761000000016","0.01620529","0.00826281000000024","0.00528529000000016","0.00774400000000017","0.00883600000000022","0.00826281000000024","0.00622521000000014","0.00485809000000014","0.0125664100000004","0.0139948900000003","0.01620529","0.0100000000000003","0.00111556000000002","0.0040449599999999","0","0.00178928999999993","0.00014884","0.000918090000000027","0.00485809000000014","0.00528529000000016","0.00485809000000014","0.000750760000000005","9.60999999999926e-06","0.00059049000000001","0.00331776000000009","0.00883600000000022","0.00940900000000025","0.00485809000000014","0.00528529000000016","0.00574564000000015","0.00528529000000016","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",88,"3/9/2016","11:02:48 AM",33.7519,12.98,12.9668,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",660,17.6785714285714,0.0899805500000007,"0.000334889999999999","0","9.60999999999926e-06","0.00073984000000003","0.00772641000000021","0.011881","0.0202492900000002","0.01394761","0.00824464000000028","0.00573049000000018","0.00235225000000006","0.000231040000000003","0.00110889000000004","0.00485809000000014","0.00879844000000031","0.011881","0.00131769000000005","0.00295936000000012","0.00295936000000012","0.00527076000000019","0.012544","0.0112360000000003","0.0093896100000003","0.00330625000000011","8.28099999999696e-05","9.60999999999926e-06","3.60000000000027e-05","0.00022801000000001","0.00022801000000001","0.00131769000000005","0.00330625000000011","0.00235225000000006","0.00154449000000006","0.00154449000000006","0.00404496000000013","0.011881","0.00527076000000019","0.00295936000000012","0.00485809000000014","0.00573049000000018","0.00527076000000019","0.00367236000000011","0.0026419600000001","0.00879844000000031","0.0100000000000003","0.011881","0.00667489000000024","0.00022801000000001","0.00670760999999987","0.000334889999999999","0.00367235999999989","3.72099999999999e-05","0.000144000000000011","0.0026419600000001","0.00295936000000012","0.0026419600000001","8.2810000000002e-05","0.000231040000000003","3.60000000000027e-05","0.00154449000000006","0.00573049000000018","0.00619369000000021","0.0026419600000001","0.00295936000000012","0.00330625000000011","0.00295936000000012","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",89,"3/9/2016","11:02:49 AM",33.8053,12.98,13.0031,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",670,17.9464285714286,0.115375585000001,"0.00131769000000005","0.00298116000000007","0.00131769000000005","0.00155236000000004","8.2810000000002e-05","0.00266256000000006","0.0052852899999999","0.011236","0.00669123999999991","0.0029702500000001","0.00155236000000004","0.00014884","0.00265225000000008","9.00000000000068e-06","0.00111556000000002","0.00330625000000011","0.0052852899999999","0","0.000327610000000016","0.000327610000000016","0.00131769000000005","0.00573048999999991","0.00485809000000014","0.00367236000000011","0.000449440000000014","0.00206115999999991","0.00155236000000004","0.000918090000000027","0.000449440000000014","0.000449440000000014","0","0.000449440000000014","0.00014884","9.00000000000068e-06","9.00000000000068e-06","0.000745290000000018","0.0052852899999999","0.00131769000000005","0.000327610000000016","0.00111556000000002","0.00155236000000004","0.00131769000000005","0.00059049000000001","0.00022801000000001","0.00330625000000011","0.0040576900000001","0.0052852899999999","0.00206116000000007","0.000449440000000014","0.01397124","0.00298116000000007","0.00938960999999995","0.00179776000000006","0.00059049000000001","0.00022801000000001","0.000327610000000016","0.00022801000000001","0.00073984000000003","0.00265225000000008","0.000918090000000027","9.00000000000068e-06","0.00155236000000004","0.00179776000000006","0.00022801000000001","0.000327610000000016","0.000449440000000014","0.000327610000000016","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",90,"3/9/2016","11:02:50 AM",33.8319,12.98,13.0212,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",680,18.2142857142857,0.128295055000001,"0.000327610000000016","0.00295936000000012","0.00528529000000016","0.00295936000000012","0.00330625000000011","0.00073984000000003","0.00112225000000001","0.00298115999999988","0.0077264099999999","0.00405768999999987","0.00132496000000003","0.000453690000000004","3.48100000000054e-05","0.00484416000000017","0.000445210000000024","0.000234089999999996","0.00155236000000004","0.00298115999999988","0.000327610000000016","0","0","0.000331240000000008","0.00331775999999988","0.00266256000000006","0.00180625000000004","9.60999999999926e-06","0.00403224999999993","0.00330625000000011","0.00234256000000009","0.00154449000000006","0.00154449000000006","0.000327610000000016","9.60999999999926e-06","3.48100000000054e-05","0.00022801000000001","0.00022801000000001","8.46399999999977e-05","0.00298115999999988","0.000331240000000008","0","0.000234089999999996","0.000453690000000004","0.000331240000000008","3.8439999999997e-05","9.00000000000068e-06","0.00155236000000004","0.00207936000000003","0.00298115999999988","0.000745290000000018","0.00154449000000006","0.0185776900000001","0.00528529000000016","0.013225","0.00366025000000013","0.00179776000000006","9.00000000000068e-06","0","9.00000000000068e-06","0.00205209000000009","0.00484416000000017","0.00234256000000009","0.00022801000000001","0.000453690000000004","0.00059049000000001","9.00000000000068e-06","0","9.60999999999926e-06","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",91,"3/9/2016","11:02:51 AM",33.8631,12.98,13.0425,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",690,18.4821428571429,0.118346585000001,"0.000453690000000004","0.00155236000000004","0.00573049000000018","0.00883600000000022","0.00573049000000018","0.00620944000000017","0.00235225000000006","0.00014884","0.00110888999999992","0.00443555999999991","0.00179775999999991","0.00022801000000001","0","0.00073984000000003","0.00826281000000024","0.00179776000000006","3.60000000000027e-05","0.000327610000000016","0.00110888999999992","0.00155236000000004","0.000453690000000004","0.000453690000000004","9.60999999999926e-06","0.00131768999999992","0.000918090000000027","0.000449440000000014","0.000331240000000008","0.00719103999999992","0.00620944000000017","0.00485809000000014","0.00367236000000011","0.00367236000000011","0.00155236000000004","0.000331240000000008","0.00073984000000003","0.00132496000000003","0.00132496000000003","0.000146410000000005","0.00110888999999992","9.60999999999926e-06","0.000453690000000004","3.60000000000027e-05","0","9.60999999999926e-06","0.00022801000000001","0.00059049000000001","0.000327610000000016","0.00059049000000001","0.00110888999999992","3.60000000000027e-05","0.00367236000000011","0.0248377600000001","0.00883600000000022","0.0185776900000001","0.0066912400000002","0.0040576900000001","0.00059049000000001","0.000453690000000004","0.00059049000000001","0.00443556000000015","0.00826281000000024","0.00485809000000014","0.00132496000000003","0","9.00000000000068e-06","0.00059049000000001","0.000453690000000004","0.000331240000000008","0.000453690000000004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
