"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.29007633587786","semivar4.58015267175572","semivar6.87022900763359","semivar9.16030534351145","semivar11.4503816793893","semivar13.7404580152672","semivar16.030534351145","semivar18.3206106870229","semivar20.6106870229008","semivar22.9007633587786","semivar25.1908396946565","semivar27.4809160305344","semivar29.7709923664122","semivar32.0610687022901","semivar34.3511450381679","semivar36.6412213740458","semivar38.9312977099237","semivar41.2213740458015","semivar43.5114503816794","semivar45.8015267175573","semivar48.0916030534351","semivar50.381679389313","semivar52.6717557251908","semivar54.9618320610687","semivar57.2519083969466","semivar59.5419847328244","semivar61.8320610687023","semivar64.1221374045802","semivar66.412213740458","semivar68.7022900763359","semivar70.9923664122137","semivar73.2824427480916","semivar75.5725190839695","semivar77.8625954198473","semivar80.1526717557252","semivar82.4427480916031","semivar84.7328244274809","semivar87.0229007633588","semivar89.3129770992366","semivar91.6030534351145","semivar93.8931297709924","semivar96.1832061068702","semivar98.4732824427481","semivar100.763358778626","semivar103.053435114504","semivar105.343511450382","semivar107.63358778626","semivar109.923664122137","semivar112.213740458015","semivar114.503816793893","semivar116.793893129771","semivar119.083969465649","semivar121.374045801527","semivar123.664122137405","semivar125.954198473282","semivar128.24427480916","semivar130.534351145038","semivar132.824427480916","semivar135.114503816794","semivar137.404580152672","semivar139.69465648855","semivar141.984732824427","semivar144.274809160305","semivar146.564885496183","semivar148.854961832061","semivar151.145038167939","semivar153.435114503817","semivar155.725190839695","semivar158.015267175573","semivar160.30534351145","semivar162.595419847328","semivar164.885496183206","semivar167.175572519084","semivar169.465648854962","semivar171.75572519084","semivar174.045801526718","semivar176.335877862595","semivar178.625954198473","semivar180.916030534351","semivar183.206106870229","semivar185.496183206107","semivar187.786259541985","semivar190.076335877863","semivar192.36641221374","semivar194.656488549618","semivar196.946564885496","semivar199.236641221374","semivar201.526717557252","semivar203.81679389313","semivar206.106870229008","semivar208.396946564885","semivar210.687022900763","semivar212.977099236641","semivar215.267175572519","semivar217.557251908397","semivar219.847328244275","semivar222.137404580153","semivar224.427480916031","semivar226.717557251908","semivar229.007633587786","semivar231.297709923664","semivar233.587786259542","semivar235.87786259542","semivar238.167938931298","semivar240.458015267176","semivar242.748091603053","semivar245.038167938931","semivar247.328244274809","semivar249.618320610687","semivar251.908396946565","semivar254.198473282443","semivar256.488549618321","semivar258.778625954198","semivar261.068702290076","semivar263.358778625954","semivar265.648854961832","semivar267.93893129771","semivar270.229007633588","semivar272.519083969466","semivar274.809160305344","semivar277.099236641221","semivar279.389312977099","semivar281.679389312977","semivar283.969465648855","semivar286.259541984733","semivar288.549618320611","semivar290.839694656489","semivar293.129770992366","semivar295.419847328244","semivar297.709923664122","semivar300"
"AR-330_PIPES_2016-01-15_R_T3",33,"1/15/2016","8:42:52 AM",42.2227,13.846,18.7308,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",200,4.61538461538461,0.31785607,"0.00022801000000001","0.00022801000000001","0","8.2810000000002e-05","8.2810000000002e-05","0.00364815999999973","0.00440895999999974","0.00364815999999973","0.000327609999999888","0.000445210000000024","0.000734410000000043","0.000585640000000021","0.000327610000000016","8.2810000000002e-05","0.00154448999999978","0.00295935999999973","0.00481635999999974","0.00154448999999978","0.00110223999999982","0.00481635999999974","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",34,"1/15/2016","8:42:53 AM",42.2315,13.846,18.7368,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",210,4.84615384615385,0.361631039999999,"3.60000000000027e-05","0.000445210000000024","0.000445210000000024","3.60000000000027e-05","9.60999999999926e-06","0.00022801000000001","0.00440895999999974","0.00524175999999975","0.00440895999999974","0.000580809999999861","0.00022801000000001","0.000445210000000024","0.000331240000000008","0.000146410000000005","0.00022801000000001","0.00205208999999977","0.00364815999999973","0.00568515999999975","0.00205208999999977","0.0015366399999998","0.00568515999999975","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",35,"1/15/2016","8:42:54 AM",42.2492,13.846,18.7489,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",220,5.07692307692308,0.457911494999998,"0.000146410000000005","0.000327610000000016","0.00110224000000005","0.00110224000000005","0.000327610000000016","8.10000000000061e-05","0.00073984000000003","0.00616224999999972","0.00714024999999974","0.00616224999999972","0.00131043999999981","9.00000000000068e-06","8.10000000000061e-05","3.72099999999999e-05","0","0.00073984000000003","0.00329475999999973","0.00525624999999971","0.00765624999999975","0.00329475999999973","0.00263168999999976","0.00765624999999975","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",36,"1/15/2016","8:42:55 AM",42.2847,13.846,18.773,85,"AR-330_PIPES_2016-01-15_R_T3_final.csv",230,5.30769230769231,0.568687024999999,"0.000580810000000033","0.00131044000000007","0.0017808400000001","0.00328329000000017","0.00328329000000017","0.0017808400000001","0.00109561000000007","0.00263169000000013","0.0105267599999998","0.0117939599999998","0.0105267599999998","0.00363608999999976","0.000445210000000024","0.00022801000000001","0.000324000000000025","0.000580810000000033","0.00263169000000013","0.00664224999999973","0.00933155999999975","0.0124545599999998","0.00664224999999973","0.00568515999999975","0.0124545599999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",41,"1/15/2016","8:43:00 AM",42.2492,13.846,18.7489,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",240,5.53846153846154,0.653125734999999,"0.000580810000000033","0","0.000146410000000005","0.000327610000000016","0.00110224000000005","0.00110224000000005","0.000327610000000016","8.10000000000061e-05","0.00073984000000003","0.00616224999999972","0.00714024999999974","0.00616224999999972","0.00131043999999981","9.00000000000068e-06","8.10000000000061e-05","3.72099999999999e-05","0","0.00073984000000003","0.00329475999999973","0.00525624999999971","0.00765624999999975","0.00329475999999973","0.00263168999999976","0.00765624999999975","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",42,"1/15/2016","8:43:01 AM",42.2892,13.846,18.7761,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",250,5.76923076923077,0.67955883,"0.00073984000000003","9.60999999999926e-06","0.00073984000000003","0.00154449000000006","0.00205209000000009","0.00364816000000016","0.00364816000000016","0.00205209000000009","0.00131044000000007","0.00295936000000012","0.0111724899999997","0.0124768899999998","0.0111724899999997","0.00401955999999973","0.000585640000000021","0.000331240000000008","0.000445210000000024","0.00073984000000003","0.00295936000000012","0.0071571599999997","0.00994008999999971","0.0131560899999998","0.0071571599999997","0.00616224999999972","0.0131560899999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",43,"1/15/2016","8:43:02 AM",42.2847,13.846,18.773,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",260,6,0.637766275000001,"9.60999999999926e-06","0.000580810000000033","0","0.000580810000000033","0.00131044000000007","0.0017808400000001","0.00328329000000017","0.00328329000000017","0.0017808400000001","0.00109561000000007","0.00263169000000013","0.0105267599999998","0.0117939599999998","0.0105267599999998","0.00363608999999976","0.000445210000000024","0.00022801000000001","0.000324000000000025","0.000580810000000033","0.00263169000000013","0.00664224999999973","0.00933155999999975","0.0124545599999998","0.00664224999999973","0.00568515999999975","0.0124545599999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",44,"1/15/2016","8:43:03 AM",42.2759,13.846,18.767,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",270,6.23076923076923,0.552447045,"3.60000000000027e-05","8.2810000000002e-05","0.000327610000000016","3.60000000000027e-05","0.000327610000000016","0.00091204000000004","0.00131044000000007","0.00263169000000013","0.00263169000000013","0.00131044000000007","0.000734410000000043","0.00205209000000009","0.00933155999999975","0.0105267599999998","0.00933155999999975","0.00294848999999976","0.00022801000000001","8.2810000000002e-05","0.000144000000000011","0.000327610000000016","0.00205209000000009","0.00570024999999972","0.00820835999999972","0.0111513599999998","0.00570024999999972","0.00481635999999974","0.0111513599999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",45,"1/15/2016","8:43:04 AM",42.2537,13.846,18.7519,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",280,6.46153846153846,0.448305175,"0.00022801000000001","0.000445210000000024","0.000585640000000021","9.00000000000068e-06","0.000445210000000024","9.00000000000068e-06","0.00022801000000001","0.000445210000000024","0.00131044000000007","0.00131044000000007","0.000445210000000024","0.000144000000000011","0.00091204000000004","0.00664224999999973","0.00765624999999975","0.00664224999999973","0.0015366399999998","0","3.60000000000027e-05","9.60999999999926e-06","9.00000000000068e-06","0.00091204000000004","0.00364815999999973","0.00570024999999972","0.00819024999999976","0.00364815999999973","0.00294848999999976","0.00819024999999976","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",46,"1/15/2016","8:43:05 AM",42.2492,13.846,18.7489,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",290,6.69230769230769,0.363054025,"9.00000000000068e-06","0.000327610000000016","0.000580810000000033","0.00073984000000003","0","0.000580810000000033","0","0.000146410000000005","0.000327610000000016","0.00110224000000005","0.00110224000000005","0.000327610000000016","8.10000000000061e-05","0.00073984000000003","0.00616224999999972","0.00714024999999974","0.00616224999999972","0.00131043999999981","9.00000000000068e-06","8.10000000000061e-05","3.72099999999999e-05","0","0.00073984000000003","0.00329475999999973","0.00525624999999971","0.00765624999999975","0.00329475999999973","0.00263168999999976","0.00765624999999975","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",47,"1/15/2016","8:43:06 AM",42.196,13.846,18.7127,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",300,6.92307692307692,0.33025175,"0.00131043999999981","0.0015366399999998","0.00294848999999976","0.00363608999999976","0.00401955999999973","0.00131043999999981","0.00363608999999976","0.00131043999999981","0.000580809999999861","0.000327609999999888","8.99999999997937e-06","8.99999999997937e-06","0.000327609999999888","0.000739839999999837","8.09999999999422e-05","0.00178929000000008","0.00233289000000011","0.00178929000000008","0","0.0015366399999998","0.00204303999999979","0.00178928999999977","0.00131043999999981","8.09999999999422e-05","0.000449440000000014","0.00131769000000005","0.00263169000000013","0.000449440000000014","0.00022801000000001","0.00263169000000013","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",48,"1/15/2016","8:43:07 AM",42.2272,13.846,18.7339,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",310,7.15384615384616,0.345592235,"0.000449439999999863","0.000225000000000017","0.000324000000000025","0.00109561000000007","0.0015288100000001","0.0017808400000001","0.000225000000000017","0.0015288100000001","0.000225000000000017","8.41000000000201e-06","9.60999999999926e-06","0.000331240000000008","0.000331240000000008","9.60999999999926e-06","3.60000000000027e-05","0.00014884","0.0040322499999997","0.00483024999999971","0.0040322499999997","0.000449439999999863","0.000324000000000025","0.000576000000000044","0.000445210000000024","0.000225000000000017","0.00014884","0.00179775999999975","0.00330624999999971","0.00525624999999971","0.00179775999999975","0.00131768999999979","0.00525624999999971","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",49,"1/15/2016","8:43:08 AM",42.2847,13.846,18.773,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",320,7.38461538461539,0.399673794999999,"0.0015288100000001","0.00363608999999976","0.000580810000000033","0.000445210000000024","3.60000000000027e-05","0","9.60999999999926e-06","0.000580810000000033","0","0.000580810000000033","0.00131044000000007","0.0017808400000001","0.00328329000000017","0.00328329000000017","0.0017808400000001","0.00109561000000007","0.00263169000000013","0.0105267599999998","0.0117939599999998","0.0105267599999998","0.00363608999999976","0.000445210000000024","0.00022801000000001","0.000324000000000025","0.000580810000000033","0.00263169000000013","0.00664224999999973","0.00933155999999975","0.0124545599999998","0.00664224999999973","0.00568515999999975","0.0124545599999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",50,"1/15/2016","8:43:09 AM",42.2759,13.846,18.767,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",330,7.61538461538462,0.474975019999999,"3.60000000000027e-05","0.00109561000000007","0.00294848999999976","0.000327610000000016","0.00022801000000001","0","3.60000000000027e-05","8.2810000000002e-05","0.000327610000000016","3.60000000000027e-05","0.000327610000000016","0.00091204000000004","0.00131044000000007","0.00263169000000013","0.00263169000000013","0.00131044000000007","0.000734410000000043","0.00205209000000009","0.00933155999999975","0.0105267599999998","0.00933155999999975","0.00294848999999976","0.00022801000000001","8.2810000000002e-05","0.000144000000000011","0.000327610000000016","0.00205209000000009","0.00570024999999972","0.00820835999999972","0.0111513599999998","0.00570024999999972","0.00481635999999974","0.0111513599999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",51,"1/15/2016","8:43:10 AM",42.3291,13.846,18.8032,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",340,7.84615384615385,0.53846335,"0.00131044000000007","0.00091204000000004","0.00480249000000027","0.00819024999999976","0.00294849000000015","0.00263169000000013","0.00131044000000007","0.00091204000000004","0.000734410000000043","0.00294849000000015","0.00091204000000004","0.00294849000000015","0.00440896000000021","0.00524176000000026","0.00765625000000037","0.00765625000000037","0.00524176000000026","0.00400689000000021","0.00664225000000031","0.0176358399999999","0.0192654399999999","0.0176358399999999","0.00819024999999976","0.00263169000000013","0.00205209000000009","0.00232324000000013","0.00294849000000015","0.00664225000000031","0.0124768899999998","0.0160782399999998","0.02010724","0.0124768899999998","0.0111513599999998","0.02010724","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",52,"1/15/2016","8:43:11 AM",42.2892,13.846,18.7761,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",350,8.07692307692308,0.569069180000001,"0.000734410000000043","8.2810000000002e-05","9.60999999999926e-06","0.0017808400000001","0.00401955999999973","0.00073984000000003","0.000585640000000021","8.2810000000002e-05","9.60999999999926e-06","0","0.00073984000000003","9.60999999999926e-06","0.00073984000000003","0.00154449000000006","0.00205209000000009","0.00364816000000016","0.00364816000000016","0.00205209000000009","0.00131044000000007","0.00295936000000012","0.0111724899999997","0.0124768899999998","0.0111724899999997","0.00401955999999973","0.000585640000000021","0.000331240000000008","0.000445210000000024","0.00073984000000003","0.00295936000000012","0.0071571599999997","0.00994008999999971","0.0131560899999998","0.0071571599999997","0.00616224999999972","0.0131560899999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",53,"1/15/2016","8:43:12 AM",42.3513,13.846,18.8183,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",360,8.30769230769231,0.552513950000002,"0.0017808400000001","0.00022801000000001","0.00263169000000013","0.00205209000000009","0.00712336000000038","0.0111513599999998","0.00481636000000023","0.00440896000000021","0.00263169000000013","0.00205209000000009","0.0017808400000001","0.00481636000000023","0.00205209000000009","0.00481636000000023","0.00664225000000031","0.00765625000000037","0.0105267600000005","0.0105267600000005","0.00765625000000037","0.00614656000000032","0.00933156000000043","0.02187441","0.02368521","0.02187441","0.0111513599999998","0.00440896000000021","0.00364816000000016","0.00400689000000021","0.00481636000000023","0.00933156000000043","0.0160782399999998","0.0201356099999999","0.0246176100000001","0.0160782399999998","0.0145684899999998","0.0246176100000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_PIPES_2016-01-15_R_T3",54,"1/15/2016","8:43:13 AM",42.2936,13.846,18.7791,NA,"AR-330_PIPES_2016-01-15_R_T3_final.csv",370,8.53846153846154,0.510351035000003,"0.00153664000000008","9.00000000000068e-06","0.000580810000000033","0.000146410000000005","3.72099999999999e-05","0.00204304000000011","0.00440895999999974","0.00091204000000004","0.00073984000000003","0.000146410000000005","3.72099999999999e-05","9.00000000000068e-06","0.00091204000000004","3.72099999999999e-05","0.00091204000000004","0.00178929000000008","0.00233289000000011","0.00401956000000018","0.00401956000000018","0.00233289000000011","0.00153664000000008","0.00329476000000014","0.0118156899999998","0.0131560899999998","0.0118156899999998","0.00440895999999974","0.00073984000000003","0.000449440000000014","0.000580810000000033","0.00091204000000004","0.00329476000000014","0.00767375999999971","0.0105472899999997","0.0138532899999998","0.00767375999999971","0.00664224999999973","0.0138532899999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
